id,status_id,status_nome,projeto_id,projeto_nome,tipo_id,tipo_nome,first_story_point,last_story_point,lead_time,cycle_time
NGBC-2057,10008,Done,NGBC,B2C,10600,Technical Story,NULL,NULL,1,0.13
NGBC-206,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,8,8
NGBC-2061,10008,Done,NGBC,B2C,10201,Bug,3,3,35,0.79
NGBC-2062,10008,Done,NGBC,B2C,10201,Bug,2,2,1,1
NGBC-2066,10008,Done,NGBC,B2C,10600,Technical Story,2,2,0.25,0.25
NGBC-2070,10008,Done,NGBC,B2C,10600,Technical Story,3,3,36,0
NGBC-2083,10008,Done,NGBC,B2C,10600,Technical Story,2,2,0.96,0.96
NGBC-2101,10008,Done,NGBC,B2C,10200,Story,13,8,54,12
NGBC-2102,10008,Done,NGBC,B2C,10200,Story,13,13,58,10
NGBC-2111,10008,Done,NGBC,B2C,10200,Story,8,5,62,7
NGBC-2114,10008,Done,NGBC,B2C,10201,Bug,1,1,2,1
NGBC-2135,10008,Done,NGBC,B2C,10200,Story,3,5,53,10
NGBC-2140,10008,Done,NGBC,B2C,10600,Technical Story,NULL,NULL,8,4
NGBC-2144,10008,Done,NGBC,B2C,10201,Bug,1,1,0.13,0.13
NGBC-2146,10008,Done,NGBC,B2C,10200,Story,5,5,37,2
NGBC-2154,10008,Done,NGBC,B2C,10201,Bug,3,3,1,1
NGBC-2157,10008,Done,NGBC,B2C,10600,Technical Story,3,3,29,4
NGBC-2181,10008,Done,NGBC,B2C,10200,Story,3,3,5,4
NGBC-2182,10008,Done,NGBC,B2C,10200,Story,13,5,13,10
NGBC-2183,10008,Done,NGBC,B2C,10600,Technical Story,NULL,NULL,13,3
NGBC-219,10008,Done,NGBC,B2C,10103,Task,3,3,173,20
NGBC-2196,10008,Done,NGBC,B2C,10200,Story,5,5,13,7
NGBC-2197,10008,Done,NGBC,B2C,10600,Technical Story,2,2,6,0
NGBC-220,10008,Done,NGBC,B2C,10201,Bug,NULL,NULL,5,2
NGBC-2201,10008,Done,NGBC,B2C,10201,Bug,2,2,32,2
NGBC-2205,10008,Done,NGBC,B2C,10200,Story,NULL,5,17,6
NGBC-221,10008,Done,NGBC,B2C,10201,Bug,NULL,NULL,6,1
NGBC-2216,10008,Done,NGBC,B2C,10201,Bug,2,2,1,1
NGBC-2228,10008,Done,NGBC,B2C,10600,Technical Story,2,2,6,0.92
NGBC-2233,10008,Done,NGBC,B2C,10600,Technical Story,2,5,13,5
NGBC-2234,10008,Done,NGBC,B2C,10200,Story,5,5,20,6
NGBC-2235,10008,Done,NGBC,B2C,10200,Story,5,5,14,7
NGBC-2236,10008,Done,NGBC,B2C,10200,Story,NULL,3,14,6
NGBC-2254,10008,Done,NGBC,B2C,10201,Bug,1,1,1,1
NGBC-2258,10008,Done,NGBC,B2C,10600,Technical Story,3,3,15,0.92
NGBC-2286,10008,Done,NGBC,B2C,10600,Technical Story,2,2,0.21,0.21
NGBC-2291,10008,Done,NGBC,B2C,10201,Bug,2,2,24,1
NGBC-2307,10008,Done,NGBC,B2C,10200,Story,3,3,25,3
NGBC-2308,10008,Done,NGBC,B2C,10201,Bug,1,1,6,0.04
NGBC-2309,10008,Done,NGBC,B2C,10201,Bug,3,3,25,0.13
NGBC-232,10008,Done,NGBC,B2C,10201,Bug,3,1,31,30
NGBC-2335,10008,Done,NGBC,B2C,10200,Story,3,3,36,7
NGBC-2364,10008,Done,NGBC,B2C,10201,Bug,2,2,1,1
NGBC-2365,10008,Done,NGBC,B2C,10600,Technical Story,3,3,3,3
NGBC-2368,10008,Done,NGBC,B2C,10600,Technical Story,NULL,NULL,29,0
NGBC-2371,10008,Done,NGBC,B2C,10600,Technical Story,3,3,3,2
NGBC-2382,10008,Done,NGBC,B2C,10200,Story,1,1,0.63,0
NGBC-2387,10008,Done,NGBC,B2C,10201,Bug,3,3,5,4
NGBC-239,10008,Done,NGBC,B2C,10103,Task,2,2,7,6
NGBC-2393,10008,Done,NGBC,B2C,10201,Bug,2,2,6,0.96
NGBC-2413,10008,Done,NGBC,B2C,10200,Story,5,5,42,11
NGBC-2425,10008,Done,NGBC,B2C,10600,Technical Story,3,3,5,5
NGBC-2471,10008,Done,NGBC,B2C,10600,Technical Story,3,3,4,1
NGBC-2484,10008,Done,NGBC,B2C,10600,Technical Story,NULL,NULL,6,3
NGBC-2485,10008,Done,NGBC,B2C,10600,Technical Story,NULL,NULL,6,5
NGBC-2486,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,5,0.92
NGBC-2526,10008,Done,NGBC,B2C,10600,Technical Story,5,5,12,10
NGBC-2527,10008,Done,NGBC,B2C,10600,Technical Story,2,2,5,0.13
NGBC-2528,10008,Done,NGBC,B2C,10600,Technical Story,2,3,6,1
NGBC-2580,10008,Done,NGBC,B2C,10200,Story,2,2,19,6
NGBC-2581,10008,Done,NGBC,B2C,10600,Technical Story,NULL,NULL,13,13
NGBC-2584,10008,Done,NGBC,B2C,10600,Technical Story,1,1,0,0
NGBC-2606,10008,Done,NGBC,B2C,10600,Technical Story,5,5,15,13
NGBC-2611,10008,Done,NGBC,B2C,10600,Technical Story,1,1,63,0
NGBC-2619,10008,Done,NGBC,B2C,10600,Technical Story,3,3,5,0.88
NGBC-2625,10008,Done,NGBC,B2C,10600,Technical Story,3,3,12,8
NGBC-2626,10008,Done,NGBC,B2C,10201,Bug,2,2,4,1
NGBC-2627,10008,Done,NGBC,B2C,10600,Technical Story,NULL,NULL,6,4
NGBC-2639,10008,Done,NGBC,B2C,10600,Technical Story,2,2,0.75,0.63
NGBC-2643,10008,Done,NGBC,B2C,10600,Technical Story,NULL,NULL,3,1
NGBC-2650,10008,Done,NGBC,B2C,10600,Technical Story,NULL,NULL,26,12
NGBC-2651,10008,Done,NGBC,B2C,10201,Bug,3,3,7,0
NGBC-2652,10008,Done,NGBC,B2C,10600,Technical Story,NULL,NULL,21,21
NGBC-2657,10008,Done,NGBC,B2C,10200,Story,5,5,28,9
NGBC-2665,10008,Done,NGBC,B2C,10200,Story,3,3,12,0.88
NGBC-2666,10008,Done,NGBC,B2C,10200,Story,2,2,12,2
NGBC-2682,10008,Done,NGBC,B2C,10200,Story,8,8,23,10
NGBC-2683,10008,Done,NGBC,B2C,10200,Story,8,5,30,6
NGBC-2684,10008,Done,NGBC,B2C,10200,Story,8,8,30,7
NGBC-2685,10008,Done,NGBC,B2C,10200,Story,3,3,23,10
NGBC-2686,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,6,6
NGBC-2689,10008,Done,NGBC,B2C,10200,Story,2,2,10,0.96
NGBC-2717,10008,Done,NGBC,B2C,10600,Technical Story,5,3,17,6
NGBC-2728,10008,Done,NGBC,B2C,10200,Story,5,5,21,2
NGBC-2738,10008,Done,NGBC,B2C,10201,Bug,2,2,4,0
NGBC-2741,10008,Done,NGBC,B2C,10201,Bug,2,2,3,0
NGBC-2756,10008,Done,NGBC,B2C,10201,Bug,2,2,34,1
